date, DAXPoints
734696,7.112190e+03
734697,7.171470e+03
734698,7.204940e+03
734699,7.188700e+03
734702,7.162820e+03
734703,7.148480e+03
734704,7.250180e+03
734705,7.264980e+03
734706,7.308480e+03
734709,7.273600e+03
734710,7.369890e+03
734711,7.315750e+03
734712,7.163950e+03
734713,7.108270e+03
734716,7.254500e+03
734717,6.909430e+03
734718,6.717840e+03
734719,6.714790e+03
734720,6.338770e+03
734723,6.170690e+03
734724,5.896140e+03
734725,6.040680e+03
734726,5.771210e+03
734727,5.775960e+03
734730,6.075590e+03
734731,5.957940e+03
734732,5.910500e+03
734733,5.854360e+03
734734,5.581510e+03
734737,5.412750e+03
734738,5.529260e+03
734739,5.579800e+03
734740,5.739860e+03
734741,5.582500e+03
734744,5.634060e+03
734745,5.713530e+03
734746,5.686260e+03
734747,5.793100e+03
734748,5.623700e+03
734751,5.409870e+03
734752,5.248310e+03
734753,5.332520e+03
734754,5.410080e+03
734755,5.383630e+03
734758,5.063590e+03
734759,5.153950e+03
734760,5.108100e+03
734761,5.386860e+03
734762,5.607510e+03
734765,5.447320e+03
734766,5.373530e+03
734767,5.557070e+03
734768,5.258420e+03
734769,5.227090e+03
734772,5.128560e+03
734773,5.502890e+03
734774,5.560600e+03
734775,5.555070e+03
734776,5.602550e+03
734780,5.284110e+03
734781,5.341430e+03
734782,5.511560e+03
734783,5.647660e+03
734786,5.705400e+03
734787,5.825910e+03
734788,5.851100e+03
734789,5.969910e+03
734790,5.934780e+03
734793,6.021290e+03
734794,5.781770e+03
734795,5.909580e+03
734796,5.834420e+03
734797,5.800060e+03
734800,6.014360e+03
734801,6.026450e+03
734802,6.041160e+03
734803,6.222750e+03
734804,6.364180e+03
734807,6.283190e+03
734808,5.934540e+03
734809,5.897140e+03
734810,5.835360e+03
734811,6.175430e+03
734814,5.905930e+03
734815,5.950440e+03
734816,6.045870e+03
734817,5.732320e+03
734818,5.881490e+03
734821,6.097270e+03
734822,5.920430e+03
734823,5.873290e+03
734824,5.875860e+03
734825,5.800790e+03
734828,5.767090e+03
734829,5.648500e+03
734830,5.485670e+03
734831,5.512760e+03
734832,5.433300e+03
734835,5.577190e+03
734836,5.725680e+03
734837,5.741210e+03
734838,6.080480e+03
734839,6.117730e+03
734842,6.137870e+03
734843,6.021730e+03
734844,6.116260e+03
734845,6.054560e+03
734846,5.806490e+03
734849,5.945190e+03
734850,5.801390e+03
734851,5.738980e+03
734852,5.713480e+03
734853,5.764450e+03
734856,5.651740e+03
734857,5.652610e+03
734858,5.918720e+03
734859,5.830130e+03
734860,5.905180e+03
734864,5.900700e+03
734865,5.875870e+03
734866,5.804130e+03
734867,5.867030e+03
734870,5.900180e+03
734871,6.124110e+03
734872,6.141260e+03
734873,6.121340e+03
734874,6.114640e+03
734877,6.061260e+03
734878,6.090870e+03
734879,6.148450e+03
734880,6.160090e+03
734881,6.242490e+03
734884,6.120400e+03
734885,6.301910e+03
734886,6.330430e+03
734887,6.377240e+03
734888,6.410750e+03
734891,6.387330e+03
734892,6.372490e+03
734893,6.448870e+03
734894,6.453620e+03
734895,6.507770e+03
734898,6.454540e+03
734899,6.489040e+03
734900,6.482950e+03
734901,6.640050e+03
734902,6.649570e+03
734905,6.752030e+03
734906,6.772750e+03
734907,6.800720e+03
734908,6.782140e+03
734909,6.730540e+03
734912,6.748680e+03
734913,6.712680e+03
734914,6.807550e+03
734915,6.665240e+03
734916,6.811020e+03
734919,6.892040e+03
734920,6.936910e+03
734921,6.914680e+03
734922,6.838940e+03
