date, DAXPoints
01-Mar-1991, 1521.3
04-Mar-1991, 1529.31
05-Mar-1991, 1546.61
06-Mar-1991, 1584.15
07-Mar-1991, 1586.69
08-Mar-1991, 1604.67
11-Mar-1991, 1575.69
12-Mar-1991, 1568.47
13-Mar-1991, 1558.75
14-Mar-1991, 1563.64
15-Mar-1991, 1572.21
18-Mar-1991, 1558.23
19-Mar-1991, 1542.85
20-Mar-1991, 1530.69
21-Mar-1991, 1527.54
22-Mar-1991, 1507.64
25-Mar-1991, 1508.81
26-Mar-1991, 1499.26
27-Mar-1991, 1514.86
28-Mar-1991, 1515.32
02-Apr-1991, 1541.84
03-Apr-1991, 1572.44
04-Apr-1991, 1568.4
05-Apr-1991, 1576.17
08-Apr-1991, 1576.37
09-Apr-1991, 1588.45
10-Apr-1991, 1560.53
11-Apr-1991, 1566.52
12-Apr-1991, 1577.65
15-Apr-1991, 1600.5
16-Apr-1991, 1602.5
17-Apr-1991, 1616.92
18-Apr-1991, 1614.16
19-Apr-1991, 1599.83
22-Apr-1991, 1577.05
23-Apr-1991, 1593.62
24-Apr-1991, 1599.41
25-Apr-1991, 1625.87
26-Apr-1991, 1620.52
29-Apr-1991, 1633.85
30-Apr-1991, 1606.87
02-May-1991, 1631.16
03-May-1991, 1633.13
06-May-1991, 1625.86
07-May-1991, 1628.99
08-May-1991, 1608.77
10-May-1991, 1620.39
13-May-1991, 1607.28
14-May-1991, 1598.07
15-May-1991, 1587.77
16-May-1991, 1592.32
17-May-1991, 1602.59
21-May-1991, 1612.48
22-May-1991, 1640.73
23-May-1991, 1641.21
24-May-1991, 1662.29
27-May-1991, 1677.34
28-May-1991, 1675.28
29-May-1991, 1686.42
31-May-1991, 1707.96
03-Jun-1991, 1704.19
04-Jun-1991, 1689.3
05-Jun-1991, 1705.74
06-Jun-1991, 1708.7
07-Jun-1991, 1708.36
10-Jun-1991, 1698.08
11-Jun-1991, 1713.3
12-Jun-1991, 1699.28
13-Jun-1991, 1688.85
14-Jun-1991, 1702.88
17-Jun-1991, 1714.22
18-Jun-1991, 1694
19-Jun-1991, 1687.7
20-Jun-1991, 1689.72
21-Jun-1991, 1706.76
24-Jun-1991, 1690.68
25-Jun-1991, 1691.47
26-Jun-1991, 1677.58
27-Jun-1991, 1668.61
28-Jun-1991, 1623.73
01-Jul-1991, 1628.75
02-Jul-1991, 1613.63
03-Jul-1991, 1606.51
04-Jul-1991, 1621.04
05-Jul-1991, 1618.16
08-Jul-1991, 1610.61
09-Jul-1991, 1630.75
10-Jul-1991, 1640.17
11-Jul-1991, 1635.47
12-Jul-1991, 1645.89
15-Jul-1991, 1647.84
16-Jul-1991, 1638.35
17-Jul-1991, 1629.93
18-Jul-1991, 1621.49
19-Jul-1991, 1624.74
22-Jul-1991, 1627.63
23-Jul-1991, 1631.99
24-Jul-1991, 1621.18
25-Jul-1991, 1613.42
26-Jul-1991, 1604.95
29-Jul-1991, 1605.75
30-Jul-1991, 1616.67
31-Jul-1991, 1619.29
01-Aug-1991, 1620.49
02-Aug-1991, 1619.67
05-Aug-1991, 1623.07
06-Aug-1991, 1613.98
07-Aug-1991, 1631.87
08-Aug-1991, 1630.37
09-Aug-1991, 1633.47
12-Aug-1991, 1626.55
13-Aug-1991, 1650.43
14-Aug-1991, 1650.06
15-Aug-1991, 1654.11
16-Aug-1991, 1653.6
19-Aug-1991, 1501.82
20-Aug-1991, 1524.28
21-Aug-1991, 1603.65
22-Aug-1991, 1622.49
23-Aug-1991, 1636.68
26-Aug-1991, 1652.1
27-Aug-1991, 1645.81
28-Aug-1991, 1650.36
29-Aug-1991, 1651.55
30-Aug-1991, 1649.88
02-Sep-1991, 1653.52
03-Sep-1991, 1657.51
04-Sep-1991, 1649.55
05-Sep-1991, 1649.09
06-Sep-1991, 1646.41
09-Sep-1991, 1638.65
10-Sep-1991, 1625.8
11-Sep-1991, 1628.64
12-Sep-1991, 1632.22
13-Sep-1991, 1633.65
16-Sep-1991, 1631.17
17-Sep-1991, 1635.8
18-Sep-1991, 1621.27
19-Sep-1991, 1624.7
20-Sep-1991, 1616.13
23-Sep-1991, 1618.12
24-Sep-1991, 1627.8
25-Sep-1991, 1625.79
26-Sep-1991, 1614.8
27-Sep-1991, 1612.8
30-Sep-1991, 1605.47
01-Oct-1991, 1609.32
02-Oct-1991, 1607.48
04-Oct-1991, 1604.89
07-Oct-1991, 1589.12
08-Oct-1991, 1582.27
09-Oct-1991, 1567.99
10-Oct-1991, 1568.16
